,Entity,Year,Total GHG
893,Chad,1992,25450000.0
894,Chad,1993,25770000.0
895,Chad,1994,25990000.0
896,Chad,1995,26400000.0
897,Chad,1996,29000000.0
898,Chad,1997,30660000.0
899,Chad,1998,34440000.0
900,Chad,1999,35390000.0
901,Chad,2000,34720000.0
902,Chad,2001,30420000.0
903,Chad,2002,34250000.0
904,Chad,2003,36170000.0
905,Chad,2004,37440000.0
906,Chad,2005,39530000.0
907,Chad,2006,56930000.0
908,Chad,2007,57570000.0
909,Chad,2008,57150000.0
910,Chad,2009,55400000.0
911,Chad,2010,56890000.0
912,Chad,2011,57230000.0
913,Chad,2012,57970000.0
914,Chad,2013,57210000.0
915,Chad,2014,56720000.0
918,Chile,1990,35560000.0
919,Chile,1991,34640000.0
920,Chile,1992,36990000.0
921,Chile,1993,38440000.0
922,Chile,1994,41930000.0
923,Chile,1995,45510000.0
924,Chile,1996,51630000.0
925,Chile,1997,58930000.0
926,Chile,1998,60170000.0
927,Chile,1999,62940000.0
928,Chile,2000,59240000.0
929,Chile,2001,62760000.0
930,Chile,2002,63710000.0
931,Chile,2003,64629999.99999999
932,Chile,2004,70000000.0
933,Chile,2005,70880000.0
934,Chile,2006,71460000.0
935,Chile,2007,79860000.0
936,Chile,2008,84530000.0
937,Chile,2009,81790000.0
938,Chile,2010,86460000.0
939,Chile,2011,-4720000.0
940,Chile,2012,-2620000.0
941,Chile,2013,280000.0
942,Chile,2014,-5680000.0
945,China,1990,2901780000.0
946,China,1991,3051320000.0
947,China,1992,3182670000.0
948,China,1993,3405730000.0
949,China,1994,3556720000.0
950,China,1995,3946200000.0
951,China,1996,3980480000.0
952,China,1997,3989450000.0
953,China,1998,4128970000.000001
954,China,1999,4079240000.0
955,China,2000,4276120000.0
956,China,2001,4452290000.0
957,China,2002,4762980000.0
958,China,2003,5385870000.0
959,China,2004,6132260000.0
960,China,2005,6856610000.0
961,China,2006,7483960000.0
962,China,2007,8102460000.0
963,China,2008,8396809999.999999
964,China,2009,8989400000.0
965,China,2010,9788640000.0
966,China,2011,10781300000.0
967,China,2012,11106420000.0
968,China,2013,11570950000.0
969,China,2014,11592120000.0
972,Colombia,1990,273460000.0
973,Colombia,1991,275190000.0
974,Colombia,1992,278940000.0
975,Colombia,1993,282870000.0
976,Colombia,1994,284930000.0
977,Colombia,1995,287910000.0
978,Colombia,1996,285040000.0
979,Colombia,1997,289590000.0
980,Colombia,1998,291570000.0
981,Colombia,1999,282010000.0
982,Colombia,2000,286060000.0
983,Colombia,2001,309040000.0
984,Colombia,2002,308210000.0
985,Colombia,2003,317930000.0
986,Colombia,2004,319580000.0
987,Colombia,2005,316150000.0
988,Colombia,2006,310830000.0
989,Colombia,2007,318810000.0
990,Colombia,2008,317540000.0
991,Colombia,2009,321640000.0
992,Colombia,2010,325720000.0
993,Colombia,2011,183900000.0
994,Colombia,2012,182280000.0
995,Colombia,2013,192090000.0
996,Colombia,2014,200850000.0
999,Comoros,1990,330000.0
1000,Comoros,1991,340000.0
1001,Comoros,1992,340000.0
1002,Comoros,1993,350000.0
1003,Comoros,1994,350000.0
1004,Comoros,1995,360000.0
1005,Comoros,1996,360000.0
1006,Comoros,1997,370000.0
1007,Comoros,1998,390000.0
1008,Comoros,1999,390000.0
1009,Comoros,2000,380000.0
1010,Comoros,2001,420000.0
1011,Comoros,2002,430000.0
1012,Comoros,2003,450000.0
1013,Comoros,2004,460000.0
1014,Comoros,2005,530000.0
1015,Comoros,2006,500000.0
1016,Comoros,2007,420000.0
1017,Comoros,2008,450000.0
1018,Comoros,2009,470000.0
1019,Comoros,2010,520000.0
1020,Comoros,2011,500000.0
1021,Comoros,2012,520000.0
1022,Comoros,2013,550000.0
1023,Comoros,2014,550000.0
1026,Congo,1990,38040000.0
1027,Congo,1991,40320000.0
1028,Congo,1992,40200000.0
1029,Congo,1993,40180000.0
1030,Congo,1994,39970000.0
1031,Congo,1995,40100000.0
1032,Congo,1996,20120000.0
1033,Congo,1997,20950000.0
1034,Congo,1998,20660000.0
1035,Congo,1999,20610000.0
1036,Congo,2000,19770000.0
1037,Congo,2001,26530000.0
1038,Congo,2002,22970000.0
1039,Congo,2003,35800000.0
1040,Congo,2004,40170000.0
1041,Congo,2005,51250000.0
1042,Congo,2006,47720000.0
1043,Congo,2007,43360000.0
1044,Congo,2008,37900000.0
1045,Congo,2009,35640000.0
1046,Congo,2010,43120000.0
1047,Congo,2011,51940000.0
1048,Congo,2012,49220000.0
1049,Congo,2013,50940000.0
1050,Congo,2014,32200000.000000004
1053,Cook Islands,1990,0.0
1054,Cook Islands,1991,0.0
1055,Cook Islands,1992,0.0
1056,Cook Islands,1993,0.0
1057,Cook Islands,1994,10000.0
1058,Cook Islands,1995,10000.0
1059,Cook Islands,1996,20000.0
1060,Cook Islands,1997,20000.0
1061,Cook Islands,1998,20000.0
1062,Cook Islands,1999,20000.0
1063,Cook Islands,2000,20000.0
1064,Cook Islands,2001,40000.0
1065,Cook Islands,2002,30000.0
1066,Cook Islands,2003,40000.0
1067,Cook Islands,2004,60000.0
1068,Cook Islands,2005,70000.0
1069,Cook Islands,2006,30000.0
1070,Cook Islands,2007,30000.0
1071,Cook Islands,2008,40000.0
1072,Cook Islands,2009,40000.0
1073,Cook Islands,2010,40000.0
1074,Cook Islands,2011,90000.0
1075,Cook Islands,2012,90000.0
1076,Cook Islands,2013,90000.0
1077,Cook Islands,2014,90000.0
1080,Costa Rica,1990,15280000.0
1081,Costa Rica,1991,15590000.0
1082,Costa Rica,1992,16700000.0
1083,Costa Rica,1993,16700000.0
1084,Costa Rica,1994,17050000.0
1085,Costa Rica,1995,16629999.999999998
1086,Costa Rica,1996,16550000.0
1087,Costa Rica,1997,16620000.000000002
1088,Costa Rica,1998,17410000.0
1089,Costa Rica,1999,17220000.0
1090,Costa Rica,2000,17040000.0
1091,Costa Rica,2001,3560000.0
1092,Costa Rica,2002,3540000.0
1093,Costa Rica,2003,4960000.0
1094,Costa Rica,2004,3910000.0
1095,Costa Rica,2005,4460000.0
1096,Costa Rica,2006,4830000.0
1097,Costa Rica,2007,6240000.0
1098,Costa Rica,2008,6380000.0
1099,Costa Rica,2009,5970000.0
1100,Costa Rica,2010,6190000.0
1101,Costa Rica,2011,2930000.0
1102,Costa Rica,2012,2970000.0
1103,Costa Rica,2013,3620000.0
1104,Costa Rica,2014,3650000.0
1107,Cote d'Ivoire,1990,5080000.0
1108,Cote d'Ivoire,1991,10820000.0
1109,Cote d'Ivoire,1992,16430000.0
1110,Cote d'Ivoire,1993,22140000.0
1111,Cote d'Ivoire,1994,27930000.0
1112,Cote d'Ivoire,1995,27710000.0
1113,Cote d'Ivoire,1996,26970000.0
1114,Cote d'Ivoire,1997,27790000.0
1115,Cote d'Ivoire,1998,27790000.0
1116,Cote d'Ivoire,1999,29070000.0
1117,Cote d'Ivoire,2000,28200000.0
1118,Cote d'Ivoire,2001,24200000.0
1119,Cote d'Ivoire,2002,23050000.0
1120,Cote d'Ivoire,2003,20250000.0
1121,Cote d'Ivoire,2004,17870000.0
1122,Cote d'Ivoire,2005,18550000.0
1123,Cote d'Ivoire,2006,31310000.0
1124,Cote d'Ivoire,2007,30820000.0
1125,Cote d'Ivoire,2008,29440000.0
1126,Cote d'Ivoire,2009,27680000.0
1127,Cote d'Ivoire,2010,26130000.0
1128,Cote d'Ivoire,2011,25050000.0
1129,Cote d'Ivoire,2012,26760000.0
1130,Cote d'Ivoire,2013,27570000.0
1131,Cote d'Ivoire,2014,27340000.0
1134,Croatia,1990,17070000.0
1135,Croatia,1991,10560000.0
1136,Croatia,1992,11590000.0
1137,Croatia,1993,12500000.0
1138,Croatia,1994,12600000.0
1139,Croatia,1995,13900000.0
1140,Croatia,1996,13250000.0
1141,Croatia,1997,14730000.0
1142,Croatia,1998,15030000.0
1143,Croatia,1999,14670000.0
1144,Croatia,2000,13760000.0
1145,Croatia,2001,14550000.0
1146,Croatia,2002,15540000.0
1147,Croatia,2003,16600000.000000002
1148,Croatia,2004,16350000.000000002
1149,Croatia,2005,16219999.999999998
1150,Croatia,2006,19020000.0
1151,Croatia,2007,20590000.0
1152,Croatia,2008,19730000.0
1153,Croatia,2009,17180000.0
1154,Croatia,2010,16540000.0
1155,Croatia,2011,22130000.0
1156,Croatia,2012,20100000.0
1157,Croatia,2013,19000000.0
1158,Croatia,2014,18260000.0
1161,Cuba,1990,19780000.0
1162,Cuba,1991,10970000.0
1163,Cuba,1992,4960000.0
1164,Cuba,1993,1170000.0
1165,Cuba,1994,2480000.0
1166,Cuba,1995,4250000.0
1167,Cuba,1996,7330000.0
1168,Cuba,1997,9780000.0
1169,Cuba,1998,9300000.0
1170,Cuba,1999,9600000.0
1171,Cuba,2000,9880000.0
1172,Cuba,2001,10990000.0
1173,Cuba,2002,9610000.0
1174,Cuba,2003,8850000.0
1175,Cuba,2004,8400000.0
1176,Cuba,2005,8760000.0
1177,Cuba,2006,79940000.0
1178,Cuba,2007,80960000.0
1179,Cuba,2008,80450000.0
1180,Cuba,2009,81850000.0
1181,Cuba,2010,84880000.0
1182,Cuba,2011,32180000.0
1183,Cuba,2012,32260000.0
1184,Cuba,2013,30920000.0
1185,Cuba,2014,30590000.0
1188,Cyprus,1990,5360000.0
1189,Cyprus,1991,5830000.0
1190,Cyprus,1992,6240000.0
1191,Cyprus,1993,6520000.0
1192,Cyprus,1994,6770000.0
1193,Cyprus,1995,6650000.0
1194,Cyprus,1996,7040000.0
1195,Cyprus,1997,7200000.0
1196,Cyprus,1998,7480000.0
1197,Cyprus,1999,7800000.0
1198,Cyprus,2000,8029999.999999999
1199,Cyprus,2001,7920000.0
1200,Cyprus,2002,8090000.0
1201,Cyprus,2003,8780000.0
1202,Cyprus,2004,8740000.0
1203,Cyprus,2005,8840000.0
1204,Cyprus,2006,8710000.0
1205,Cyprus,2007,9020000.0
1206,Cyprus,2008,9260000.0
1207,Cyprus,2009,9050000.0
1208,Cyprus,2010,8790000.0
1209,Cyprus,2011,8580000.0
1210,Cyprus,2012,8050000.000000001
1211,Cyprus,2013,7370000.0
1212,Cyprus,2014,7800000.0
1215,Czechia,1990,169710000.0
1216,Czechia,1991,152980000.0
1217,Czechia,1992,148570000.0
1218,Czechia,1993,143840000.0
1219,Czechia,1994,136550000.0
1220,Czechia,1995,136550000.0
1221,Czechia,1996,138120000.0
1222,Czechia,1997,135630000.0
1223,Czechia,1998,129060000.0
1224,Czechia,1999,120920000.0
1225,Czechia,2000,131520000.0
1226,Czechia,2001,131520000.0
1227,Czechia,2002,125870000.0
1228,Czechia,2003,130250000.0
1229,Czechia,2004,130770000.0
1230,Czechia,2005,127750000.0
1231,Czechia,2006,134240000.0
1232,Czechia,2007,137190000.0
1233,Czechia,2008,132200000.0
1234,Czechia,2009,124470000.0
1235,Czechia,2010,127690000.0
1236,Czechia,2011,119390000.0
1237,Czechia,2012,116050000.0
1238,Czechia,2013,110740000.0
1239,Czechia,2014,108040000.0
1242,Democratic Republic of Congo,1990,203640000.0
1243,Democratic Republic of Congo,1991,202490000.0
1244,Democratic Republic of Congo,1992,202910000.0
1245,Democratic Republic of Congo,1993,203320000.0
1246,Democratic Republic of Congo,1994,203610000.0
1247,Democratic Republic of Congo,1995,203570000.0
1248,Democratic Republic of Congo,1996,210180000.0
1249,Democratic Republic of Congo,1997,216150000.0
1250,Democratic Republic of Congo,1998,218270000.0
1251,Democratic Republic of Congo,1999,210710000.0
1252,Democratic Republic of Congo,2000,206760000.0
1253,Democratic Republic of Congo,2001,196300000.0
1254,Democratic Republic of Congo,2002,197730000.0
1255,Democratic Republic of Congo,2003,203890000.0
1256,Democratic Republic of Congo,2004,208260000.0
1257,Democratic Republic of Congo,2005,210960000.0
1258,Democratic Republic of Congo,2006,209120000.0
1259,Democratic Republic of Congo,2007,207940000.0
1260,Democratic Republic of Congo,2008,210050000.0
1261,Democratic Republic of Congo,2009,210770000.0
1262,Democratic Republic of Congo,2010,211760000.0
1263,Democratic Republic of Congo,2011,214680000.0
1264,Democratic Republic of Congo,2012,214340000.0
1265,Democratic Republic of Congo,2013,222970000.0
1266,Democratic Republic of Congo,2014,219160000.0
1269,Denmark,1990,68230000.0
1270,Denmark,1991,78840000.0
1271,Denmark,1992,72620000.0
1272,Denmark,1993,75210000.0
1273,Denmark,1994,78890000.0
1274,Denmark,1995,75830000.0
1275,Denmark,1996,89250000.0
1276,Denmark,1997,79630000.0
1277,Denmark,1998,75600000.0
1278,Denmark,1999,72750000.0
1279,Denmark,2000,68490000.0
1280,Denmark,2001,70860000.0
1281,Denmark,2002,70310000.0
1282,Denmark,2003,76090000.0
1283,Denmark,2004,69640000.0
1284,Denmark,2005,65830000.0
1285,Denmark,2006,72860000.0
1286,Denmark,2007,68030000.0
1287,Denmark,2008,64620000.00000001
1288,Denmark,2009,61730000.0
1289,Denmark,2010,62230000.0
1290,Denmark,2011,55450000.0
1291,Denmark,2012,50070000.0
1292,Denmark,2013,51590000.0
1293,Denmark,2014,47330000.0
1296,Djibouti,1990,990000.0
1297,Djibouti,1991,980000.0
1298,Djibouti,1992,990000.0
1299,Djibouti,1993,1010000.0
1300,Djibouti,1994,1020000.0
1301,Djibouti,1995,1070000.0
1302,Djibouti,1996,1120000.0
1303,Djibouti,1997,1150000.0
1304,Djibouti,1998,1160000.0
1305,Djibouti,1999,1200000.0
1306,Djibouti,2000,1240000.0
1307,Djibouti,2001,1270000.0
1308,Djibouti,2002,1310000.0
1309,Djibouti,2003,1330000.0
1310,Djibouti,2004,1330000.0
1311,Djibouti,2005,1340000.0
1312,Djibouti,2006,1330000.0
1313,Djibouti,2007,1390000.0
1314,Djibouti,2008,1430000.0
1315,Djibouti,2009,1400000.0
1316,Djibouti,2010,1460000.0
1317,Djibouti,2011,1420000.0
1318,Djibouti,2012,1470000.0
1319,Djibouti,2013,1550000.0
1320,Djibouti,2014,1650000.0
1323,Dominica,1990,140000.0
1324,Dominica,1991,140000.0
1325,Dominica,1992,140000.0
1326,Dominica,1993,150000.0
1327,Dominica,1994,150000.0
1328,Dominica,1995,150000.0
1329,Dominica,1996,140000.0
1330,Dominica,1997,130000.0
1331,Dominica,1998,120000.0
1332,Dominica,1999,120000.0
1333,Dominica,2000,130000.0
1334,Dominica,2001,190000.0
1335,Dominica,2002,180000.0
1336,Dominica,2003,190000.0
1337,Dominica,2004,190000.0
1338,Dominica,2005,200000.0
1339,Dominica,2006,700000.0
1340,Dominica,2007,750000.0
1341,Dominica,2008,720000.0
1342,Dominica,2009,720000.0
1343,Dominica,2010,730000.0
1344,Dominica,2011,310000.0
1345,Dominica,2012,320000.0
1346,Dominica,2013,320000.0
1347,Dominica,2014,320000.0
1350,Dominican Republic,1990,5920000.0
1351,Dominican Republic,1991,7080000.0
1352,Dominican Republic,1992,8560000.0
1353,Dominican Republic,1993,9140000.0
1354,Dominican Republic,1994,11120000.0
1355,Dominican Republic,1995,11610000.0
1356,Dominican Republic,1996,12510000.0
1357,Dominican Republic,1997,14210000.0
1358,Dominican Republic,1998,16110000.0
1359,Dominican Republic,1999,16750000.0
1360,Dominican Republic,2000,17530000.0
1361,Dominican Republic,2001,19640000.0
1362,Dominican Republic,2002,22050000.0
1363,Dominican Republic,2003,19710000.0
1364,Dominican Republic,2004,19020000.0
1365,Dominican Republic,2005,20300000.0
1366,Dominican Republic,2006,21810000.0
1367,Dominican Republic,2007,23160000.0
1368,Dominican Republic,2008,23410000.0
1369,Dominican Republic,2009,22870000.0
1370,Dominican Republic,2010,24280000.0
1371,Dominican Republic,2011,24580000.0
1372,Dominican Republic,2012,25410000.0
1373,Dominican Republic,2013,25250000.0
1374,Dominican Republic,2014,25440000.0
1377,Ecuador,1990,76170000.0
1378,Ecuador,1991,77030000.0
1379,Ecuador,1992,79280000.0
1380,Ecuador,1993,79020000.0
1381,Ecuador,1994,80670000.0
1382,Ecuador,1995,83800000.0
1383,Ecuador,1996,87120000.0
1384,Ecuador,1997,89140000.0
1385,Ecuador,1998,88100000.0
1386,Ecuador,1999,84090000.0
1387,Ecuador,2000,84480000.0
1388,Ecuador,2001,79560000.0
1389,Ecuador,2002,80240000.0
1390,Ecuador,2003,80340000.0
1391,Ecuador,2004,84290000.0
1392,Ecuador,2005,85790000.0
1393,Ecuador,2006,87940000.0
1394,Ecuador,2007,88400000.0
1395,Ecuador,2008,89280000.0
1396,Ecuador,2009,92530000.0
1397,Ecuador,2010,96210000.0
1398,Ecuador,2011,96710000.0
1399,Ecuador,2012,98180000.0
1400,Ecuador,2013,100380000.0
1401,Ecuador,2014,102300000.0
1404,Egypt,1990,129330000.0
1405,Egypt,1991,134970000.0
1406,Egypt,1992,140040000.0
1407,Egypt,1993,142330000.0
1408,Egypt,1994,138260000.0
1409,Egypt,1995,147200000.0
1410,Egypt,1996,154630000.0
1411,Egypt,1997,164080000.0
1412,Egypt,1998,170850000.0
1413,Egypt,1999,179720000.0
1414,Egypt,2000,180360000.0
1415,Egypt,2001,192780000.0
1416,Egypt,2002,197200000.0
1417,Egypt,2003,204500000.0
1418,Egypt,2004,215210000.0
1419,Egypt,2005,234140000.0
1420,Egypt,2006,243290000.0
1421,Egypt,2007,259480000.00000003
1422,Egypt,2008,271340000.0
1423,Egypt,2009,274870000.0
1424,Egypt,2010,277420000.0
1425,Egypt,2011,283900000.0
1426,Egypt,2012,294690000.0
1427,Egypt,2013,292440000.0
1428,Egypt,2014,297700000.0
1431,El Salvador,1990,8039999.999999999
1432,El Salvador,1991,8910000.0
1433,El Salvador,1992,9330000.0
1434,El Salvador,1993,9890000.0
1435,El Salvador,1994,10530000.0
1436,El Salvador,1995,10790000.0
1437,El Salvador,1996,10700000.0
1438,El Salvador,1997,11530000.0
1439,El Salvador,1998,11580000.0
1440,El Salvador,1999,11800000.0
1441,El Salvador,2000,11660000.0
1442,El Salvador,2001,12370000.0
1443,El Salvador,2002,12560000.0
1444,El Salvador,2003,12930000.0
1445,El Salvador,2004,13020000.0
1446,El Salvador,2005,13540000.0
1447,El Salvador,2006,13840000.0
1448,El Salvador,2007,14450000.0
1449,El Salvador,2008,13800000.0
1450,El Salvador,2009,13500000.0
1451,El Salvador,2010,13220000.0
1452,El Salvador,2011,13020000.0
1453,El Salvador,2012,13200000.0
1454,El Salvador,2013,12430000.0
1455,El Salvador,2014,12700000.0
1458,Equatorial Guinea,1990,5530000.0
1459,Equatorial Guinea,1991,5660000.0
1460,Equatorial Guinea,1992,5720000.0
1461,Equatorial Guinea,1993,6650000.0
1462,Equatorial Guinea,1994,6630000.0
1463,Equatorial Guinea,1995,6780000.0
1464,Equatorial Guinea,1996,8760000.0
1465,Equatorial Guinea,1997,10500000.0
1466,Equatorial Guinea,1998,11890000.0
1467,Equatorial Guinea,1999,13780000.0
1468,Equatorial Guinea,2000,15380000.0
1469,Equatorial Guinea,2001,17630000.0
1470,Equatorial Guinea,2002,20050000.0
1471,Equatorial Guinea,2003,23920000.0
1472,Equatorial Guinea,2004,26590000.0
1473,Equatorial Guinea,2005,27710000.0
1474,Equatorial Guinea,2006,28090000.0
1475,Equatorial Guinea,2007,27680000.0
1476,Equatorial Guinea,2008,27100000.0
1477,Equatorial Guinea,2009,27420000.0
1478,Equatorial Guinea,2010,26970000.0
1479,Equatorial Guinea,2011,26370000.0
1480,Equatorial Guinea,2012,26170000.0
1481,Equatorial Guinea,2013,25380000.0
1482,Equatorial Guinea,2014,24860000.0
1485,Eritrea,1990,5030000.0
1486,Eritrea,1991,5560000.0
1487,Eritrea,1992,6560000.0
1488,Eritrea,1993,6550000.0
1489,Eritrea,1994,7280000.0
1490,Eritrea,1995,7920000.0
1491,Eritrea,1996,8450000.0
1492,Eritrea,1997,8880000.0
1493,Eritrea,1998,8890000.0
1494,Eritrea,1999,9010000.0
1495,Eritrea,2000,9110000.0
1496,Eritrea,2001,8119999.999999999
1497,Eritrea,2002,7940000.0
1498,Eritrea,2003,7920000.0
1499,Eritrea,2004,7830000.0
1500,Eritrea,2005,7670000.0
1501,Eritrea,2006,7470000.0
1502,Eritrea,2007,7910000.0
1503,Eritrea,2008,7920000.0
1504,Eritrea,2009,8170000.0
1505,Eritrea,2010,8100000.0
1506,Eritrea,2011,8289999.999999999
1507,Eritrea,2012,8170000.0
1508,Eritrea,2013,8140000.000000001
1509,Eritrea,2014,8020000.0
1512,Estonia,1990,35160000.0
1513,Estonia,1991,31430000.0
1514,Estonia,1992,23790000.0
1515,Estonia,1993,17950000.0
1516,Estonia,1994,17110000.0
1517,Estonia,1995,15320000.0
1518,Estonia,1996,16160000.0
1519,Estonia,1997,15740000.0
1520,Estonia,1998,15210000.0
1521,Estonia,1999,13980000.0
1522,Estonia,2000,13550000.0
1523,Estonia,2001,21370000.0
1524,Estonia,2002,21330000.0
1525,Estonia,2003,23010000.0
1526,Estonia,2004,23080000.0
1527,Estonia,2005,23190000.0
1528,Estonia,2006,16600000.000000002
1529,Estonia,2007,20350000.0
1530,Estonia,2008,18900000.0
1531,Estonia,2009,15470000.0
1532,Estonia,2010,19500000.0
1533,Estonia,2011,21770000.0
1534,Estonia,2012,20630000.0
1535,Estonia,2013,23040000.0
1536,Estonia,2014,21660000.0
1539,Eswatini,1990,2380000.0
1540,Eswatini,1991,2330000.0
1541,Eswatini,1992,2320000.0
1542,Eswatini,1993,2020000.0
1543,Eswatini,1994,2380000.0
1544,Eswatini,1995,2400000.0
1545,Eswatini,1996,2420000.0
1546,Eswatini,1997,3270000.0
1547,Eswatini,1998,3370000.0
1548,Eswatini,1999,3320000.0
1549,Eswatini,2000,3280000.0
1550,Eswatini,2001,3110000.0
1551,Eswatini,2002,3150000.0
1552,Eswatini,2003,3170000.0
1553,Eswatini,2004,3170000.0
1554,Eswatini,2005,3170000.0
1555,Eswatini,2006,3060000.0
1556,Eswatini,2007,3380000.0
1557,Eswatini,2008,3290000.0
1558,Eswatini,2009,3050000.0
1559,Eswatini,2010,3130000.0
1560,Eswatini,2011,3140000.0
1561,Eswatini,2012,3340000.0
1562,Eswatini,2013,3230000.0
1563,Eswatini,2014,3360000.0
1566,Ethiopia,1990,102730000.0
1567,Ethiopia,1991,104460000.0
1568,Ethiopia,1992,107010000.0
1569,Ethiopia,1993,102610000.0
1570,Ethiopia,1994,105030000.0
1571,Ethiopia,1995,107110000.0
1572,Ethiopia,1996,104080000.0
1573,Ethiopia,1997,106800000.0
1574,Ethiopia,1998,116950000.0
1575,Ethiopia,1999,117930000.0
1576,Ethiopia,2000,111270000.0
1577,Ethiopia,2001,122340000.0
1578,Ethiopia,2002,141710000.0
1579,Ethiopia,2003,136700000.0
1580,Ethiopia,2004,138170000.0
1581,Ethiopia,2005,132560000.0
1582,Ethiopia,2006,144580000.0
1583,Ethiopia,2007,144730000.0
1584,Ethiopia,2008,157420000.0
1585,Ethiopia,2009,160680000.0
1586,Ethiopia,2010,164860000.0
1587,Ethiopia,2011,150380000.0
1588,Ethiopia,2012,166220000.0
1589,Ethiopia,2013,177130000.0
1590,Ethiopia,2014,172890000.0
1593,European Union (27),1990,4229750000.0
1594,European Union (27),1991,4149930000.000001
1595,European Union (27),1992,4007960000.0
1596,European Union (27),1993,3937580000.0
1597,European Union (27),1994,3921190000.0
1598,European Union (27),1995,3969790000.0
1599,European Union (27),1996,4078890000.0
1600,European Union (27),1997,4000460000.0
1601,European Union (27),1998,3959250000.0
1602,European Union (27),1999,3884570000.0
1603,European Union (27),2000,3882670000.0
1604,European Union (27),2001,3896140000.0
1605,European Union (27),2002,3876960000.0
1606,European Union (27),2003,3966860000.0
1607,European Union (27),2004,3958740000.0
1608,European Union (27),2005,3927440000.0
1609,European Union (27),2006,3906120000.0
1610,European Union (27),2007,3870980000.0
1611,European Union (27),2008,3781190000.0
1612,European Union (27),2009,3509530000.0
1613,European Union (27),2010,3589400000.0
1614,European Union (27),2011,3384190000.0
1615,European Union (27),2012,3325050000.0
1616,European Union (27),2013,3246380000.0
1617,European Union (27),2014,3103150000.0
1620,Fiji,1990,220000.0
1621,Fiji,1991,90000.0
1622,Fiji,1992,170000.0
1623,Fiji,1993,250000.0
1624,Fiji,1994,300000.0
1625,Fiji,1995,370000.0
1626,Fiji,1996,410000.0
1627,Fiji,1997,400000.0
1628,Fiji,1998,350000.0
1629,Fiji,1999,320000.0
1630,Fiji,2000,360000.0
1631,Fiji,2001,250000.0
1632,Fiji,2002,70000.0
1633,Fiji,2003,210000.0
1634,Fiji,2004,530000.0
1635,Fiji,2005,260000.0
1636,Fiji,2006,3040000.0
1637,Fiji,2007,2990000.0
1638,Fiji,2008,2740000.0
1639,Fiji,2009,2680000.0
1640,Fiji,2010,3030000.0
1641,Fiji,2011,-690000.0
1642,Fiji,2012,-660000.0
1643,Fiji,2013,-510000.0
1644,Fiji,2014,-380000.0
1647,Finland,1990,45100000.0
1648,Finland,1991,45070000.0
1649,Finland,1992,41930000.0
1650,Finland,1993,43180000.0
1651,Finland,1994,49810000.0
1652,Finland,1995,45770000.0
1653,Finland,1996,52280000.0
1654,Finland,1997,50300000.0
1655,Finland,1998,46570000.0
1656,Finland,1999,45650000.0
1657,Finland,2000,44090000.0
1658,Finland,2001,58680000.0
1659,Finland,2002,61060000.0
1660,Finland,2003,69280000.0
1661,Finland,2004,65300000.0
1662,Finland,2005,53060000.0
1663,Finland,2006,60380000.0
1664,Finland,2007,58390000.0
1665,Finland,2008,50290000.0
1666,Finland,2009,46690000.0
1667,Finland,2010,54750000.0
1668,Finland,2011,72700000.0
1669,Finland,2012,66870000.00000001
1670,Finland,2013,67440000.0
1671,Finland,2014,63370000.0
1674,France,1990,466550000.0
1675,France,1991,491900000.0
1676,France,1992,478190000.0
1677,France,1993,460130000.0
1678,France,1994,454240000.0
1679,France,1995,463070000.0
1680,France,1996,482000000.0
1681,France,1997,472390000.0
1682,France,1998,487900000.0
1683,France,1999,477770000.0
1684,France,2000,474740000.0
1685,France,2001,425190000.0
1686,France,2002,417550000.0
1687,France,2003,422770000.0
1688,France,2004,419890000.0
1689,France,2005,420500000.0
1690,France,2006,434960000.0
1691,France,2007,428160000.0
1692,France,2008,422460000.0
1693,France,2009,405180000.0
1694,France,2010,409040000.0
1695,France,2011,353480000.0
1696,France,2012,356760000.0
1697,France,2013,357600000.0
1698,France,2014,324660000.0
1701,Gabon,1990,8730000.0
1702,Gabon,1991,8940000.0
1703,Gabon,1992,9110000.0
1704,Gabon,1993,9160000.0
1705,Gabon,1994,8880000.0
1706,Gabon,1995,8700000.0
1707,Gabon,1996,7930000.0
1708,Gabon,1997,7770000.0
1709,Gabon,1998,7590000.0
1710,Gabon,1999,7210000.0
1711,Gabon,2000,6820000.0
1712,Gabon,2001,6800000.0
1713,Gabon,2002,6650000.0
1714,Gabon,2003,6870000.0
1715,Gabon,2004,7380000.0
1716,Gabon,2005,7500000.0
1717,Gabon,2006,7210000.0
1718,Gabon,2007,7330000.0
1719,Gabon,2008,8270000.0
1720,Gabon,2009,7080000.0
1721,Gabon,2010,7980000.0
1722,Gabon,2011,-85070000.0
1723,Gabon,2012,-85260000.0
1724,Gabon,2013,-84880000.0
1725,Gabon,2014,-85620000.0
1728,Gambia,1990,3950000.0
1729,Gambia,1991,4110000.000000001
1730,Gambia,1992,4230000.0
1731,Gambia,1993,4350000.0
1732,Gambia,1994,3890000.0
1733,Gambia,1995,3420000.0
1734,Gambia,1996,3310000.0
1735,Gambia,1997,2980000.0
1736,Gambia,1998,2710000.0
1737,Gambia,1999,2650000.0
1738,Gambia,2000,2330000.0
1739,Gambia,2001,2040000.0
1740,Gambia,2002,1740000.0
1741,Gambia,2003,1540000.0
1742,Gambia,2004,1440000.0
1743,Gambia,2005,1290000.0
1744,Gambia,2006,1430000.0
1745,Gambia,2007,1470000.0
1746,Gambia,2008,1640000.0
1747,Gambia,2009,1970000.0
