,Entity,Year,Consumption of Ozone
956,China,2002,47777.2
957,China,2003,56941.4
958,China,2004,35465.8
959,China,2005,31140.5
960,China,2006,30008.1
961,China,2007,25185.9
962,China,2008,17386.3
963,China,2009,20371.2
964,China,2010,21388.2
965,China,2011,21299.43
966,China,2012,21521.55
967,China,2013,15690.57
969,Colombia,1990,2152.7
970,Colombia,1991,1877.4
971,Colombia,1992,66.0
972,Colombia,1994,2224.1
973,Colombia,1995,2685.7
974,Colombia,1996,2837.2
975,Colombia,1997,2223.0
976,Colombia,1998,1262.8
977,Colombia,1999,1021.9
978,Colombia,2000,1155.8
979,Colombia,2001,1275.9
980,Colombia,2002,1002.2
981,Colombia,2003,1168.7
982,Colombia,2004,1023.9
983,Colombia,2005,709.3
984,Colombia,2006,821.6
985,Colombia,2007,469.9
986,Colombia,2008,414.8
987,Colombia,2009,320.9
988,Colombia,2010,241.5
989,Colombia,2011,217.4
990,Colombia,2012,285.5
991,Colombia,2013,176.65
992,Colombia,2014,153.23
994,Comoros,1991,1.3
995,Comoros,1995,2.3
996,Comoros,1996,2.3
997,Comoros,1997,2.9
998,Comoros,1998,3.6
999,Comoros,1999,2.6
1000,Comoros,2000,2.8
1001,Comoros,2001,2.0
1002,Comoros,2002,1.9
1003,Comoros,2003,1.3
1004,Comoros,2004,1.2
1005,Comoros,2005,1.0
1006,Comoros,2006,0.9
1007,Comoros,2007,0.4
1008,Comoros,2008,0.1
1009,Comoros,2009,0.1
1010,Comoros,2010,0.1
1011,Comoros,2011,0.12
1012,Comoros,2012,0.11
1013,Comoros,2013,0.12
1014,Comoros,2014,0.14
1016,Congo,1991,82.4
1017,Congo,1994,27.7
1018,Congo,1995,21.1
1019,Congo,1996,18.9
1020,Congo,1997,16.3
1021,Congo,1998,15.1
1022,Congo,1999,16.0
1023,Congo,2000,29.1
1024,Congo,2001,15.8
1025,Congo,2002,11.2
1026,Congo,2003,13.1
1027,Congo,2004,11.2
1028,Congo,2005,10.7
1029,Congo,2006,10.9
1030,Congo,2007,9.7
1031,Congo,2008,10.3
1032,Congo,2009,9.88
1033,Congo,2010,10.6
1034,Congo,2011,10.56
1035,Congo,2012,9.87
1036,Congo,2013,9.35
1037,Congo,2014,8.72
1039,Cook Islands,1991,0.1
1040,Cook Islands,1995,2.5
1041,Cook Islands,1996,1.7
1042,Cook Islands,1997,1.2
1043,Cook Islands,1998,0.5
1044,Cook Islands,1999,0.0
1045,Cook Islands,2000,0.0
1046,Cook Islands,2003,0.0
1047,Cook Islands,2004,0.0
1048,Cook Islands,2005,0.0
1049,Cook Islands,2006,0.0
1050,Cook Islands,2007,0.0
1051,Cook Islands,2008,0.0
1052,Cook Islands,2009,0.0
1053,Cook Islands,2010,0.1
1054,Cook Islands,2011,0.06
1055,Cook Islands,2012,0.04
1056,Cook Islands,2013,0.02
1057,Cook Islands,2014,0.0
1059,Costa Rica,1991,549.3
1060,Costa Rica,1992,489.6
1061,Costa Rica,1993,221.5
1062,Costa Rica,1994,488.3
1063,Costa Rica,1995,410.7
1064,Costa Rica,1996,780.1
1065,Costa Rica,1997,504.1
1066,Costa Rica,1998,238.6
1067,Costa Rica,1999,610.4
1068,Costa Rica,2000,504.5
1069,Costa Rica,2001,542.2
1070,Costa Rica,2002,425.4
1071,Costa Rica,2003,492.2
1072,Costa Rica,2004,409.1
1073,Costa Rica,2005,364.4
1074,Costa Rica,2006,317.2
1075,Costa Rica,2007,281.8
1076,Costa Rica,2008,237.0
1077,Costa Rica,2009,211.5
1078,Costa Rica,2010,180.9
1079,Costa Rica,2011,127.85
1080,Costa Rica,2012,106.3
1081,Costa Rica,2013,12.6
1083,Cote d'Ivoire,1991,276.5
1084,Cote d'Ivoire,1993,223.3
1085,Cote d'Ivoire,1994,355.2
1086,Cote d'Ivoire,1995,371.5
1087,Cote d'Ivoire,1996,394.5
1088,Cote d'Ivoire,1997,157.7
1089,Cote d'Ivoire,1998,288.2
1090,Cote d'Ivoire,1999,174.0
1091,Cote d'Ivoire,2000,225.4
1092,Cote d'Ivoire,2001,173.4
1093,Cote d'Ivoire,2002,121.2
1094,Cote d'Ivoire,2003,104.6
1095,Cote d'Ivoire,2004,122.3
1096,Cote d'Ivoire,2005,116.2
1097,Cote d'Ivoire,2006,135.0
1098,Cote d'Ivoire,2007,103.3
1099,Cote d'Ivoire,2008,77.3
1100,Cote d'Ivoire,2009,73.7
1101,Cote d'Ivoire,2010,65.9
1102,Cote d'Ivoire,2011,59.32
1103,Cote d'Ivoire,2012,56.65
1104,Cote d'Ivoire,2013,54.2
1106,Croatia,1990,928.4
1107,Croatia,1991,790.8
1108,Croatia,1992,882.9
1109,Croatia,1993,848.5
1110,Croatia,1994,590.6
1111,Croatia,1995,438.3
1112,Croatia,1996,248.0
1113,Croatia,1997,314.3
1114,Croatia,1998,120.1
1115,Croatia,1999,169.9
1116,Croatia,2000,188.3
1117,Croatia,2001,142.5
1118,Croatia,2002,172.3
1119,Croatia,2003,98.0
1120,Croatia,2004,87.3
1121,Croatia,2005,54.2
1122,Croatia,2006,-32.9
1123,Croatia,2007,2.2
1124,Croatia,2008,7.7
1125,Croatia,2009,5.0
1126,Croatia,2010,3.4
1127,Croatia,2011,4.76
1128,Croatia,2012,3.63
1130,Cuba,1990,978.3
1131,Cuba,1991,397.1
1132,Cuba,1992,167.5
1133,Cuba,1993,127.2
1134,Cuba,1994,177.0
1135,Cuba,1995,606.7
1136,Cuba,1996,749.7
1137,Cuba,1997,685.2
1138,Cuba,1998,611.7
1139,Cuba,1999,645.3
1140,Cuba,2000,571.7
1141,Cuba,2001,530.6
1142,Cuba,2002,518.0
1143,Cuba,2003,508.4
1144,Cuba,2004,471.8
1145,Cuba,2005,241.0
1146,Cuba,2006,266.1
1147,Cuba,2007,103.5
1148,Cuba,2008,87.7
1149,Cuba,2009,11.7
1150,Cuba,2010,22.1
1151,Cuba,2011,14.26
1152,Cuba,2012,15.2
1153,Cuba,2013,12.19
1154,Cuba,2014,13.8
1156,Cyprus,1990,266.4
1157,Cyprus,1991,294.7
1158,Cyprus,1992,336.4
1159,Cyprus,1993,466.4
1160,Cyprus,1994,212.0
1161,Cyprus,1995,240.5
1162,Cyprus,1996,208.9
1163,Cyprus,1997,160.8
1164,Cyprus,1998,130.3
1165,Cyprus,1999,158.7
1166,Cyprus,2000,294.0
1167,Cyprus,2001,165.5
1168,Cyprus,2002,135.9
1169,Cyprus,2003,74.1
1171,Czechia,1991,6.5
1172,Czechia,1993,102.6
1173,Czechia,1994,555.7
1174,Czechia,1995,441.5
1175,Czechia,1996,55.4
1176,Czechia,1997,23.2
1177,Czechia,1998,14.3
1178,Czechia,1999,-63.5
1179,Czechia,2000,-68.1
1180,Czechia,2001,10.6
1181,Czechia,2002,146.2
1182,Czechia,2003,93.4
1184,Democratic Republic of Congo,1991,17.7
1185,Democratic Republic of Congo,1995,1209.7
1186,Democratic Republic of Congo,1996,960.4
1187,Democratic Republic of Congo,1997,578.0
1188,Democratic Republic of Congo,1998,907.4
1189,Democratic Republic of Congo,1999,410.6
1190,Democratic Republic of Congo,2000,454.6
1191,Democratic Republic of Congo,2001,1151.2
1192,Democratic Republic of Congo,2002,1081.3
1193,Democratic Republic of Congo,2003,607.6
1194,Democratic Republic of Congo,2004,364.3
1195,Democratic Republic of Congo,2005,312.6
1196,Democratic Republic of Congo,2006,228.2
1197,Democratic Republic of Congo,2007,90.5
1198,Democratic Republic of Congo,2008,50.5
1199,Democratic Republic of Congo,2009,59.82
1200,Democratic Republic of Congo,2010,76.6
1201,Democratic Republic of Congo,2011,56.93
1202,Democratic Republic of Congo,2012,47.85
1203,Democratic Republic of Congo,2013,35.94
1205,Djibouti,1991,22.1
1206,Djibouti,1995,22.7
1207,Djibouti,1996,21.5
1208,Djibouti,1997,18.9
1209,Djibouti,1998,20.6
1210,Djibouti,1999,20.6
1211,Djibouti,2000,21.2
1212,Djibouti,2001,18.5
1213,Djibouti,2002,16.3
1214,Djibouti,2003,12.6
1215,Djibouti,2004,9.3
1216,Djibouti,2005,7.7
1217,Djibouti,2006,3.7
1218,Djibouti,2007,2.8
1219,Djibouti,2008,1.5
1220,Djibouti,2009,1.2
1221,Djibouti,2010,0.7
1222,Djibouti,2011,0.66
1223,Djibouti,2012,0.64
1224,Djibouti,2013,0.62
1226,Dominica,1991,3.3
1227,Dominica,1993,1.5
1228,Dominica,1994,1.5
1229,Dominica,1995,1.1
1230,Dominica,1996,1.8
1231,Dominica,1997,1.8
1232,Dominica,1998,2.3
1233,Dominica,1999,1.2
1234,Dominica,2000,2.3
1235,Dominica,2001,1.7
1236,Dominica,2002,3.1
1237,Dominica,2003,1.5
1238,Dominica,2004,1.1
1239,Dominica,2005,1.9
1240,Dominica,2006,0.6
1241,Dominica,2007,0.0
1242,Dominica,2008,0.0
1243,Dominica,2009,0.4
1244,Dominica,2010,0.4
1245,Dominica,2011,0.16
1246,Dominica,2012,0.01
1247,Dominica,2013,0.09
1249,Dominican Republic,1991,33.9
1250,Dominican Republic,1992,287.9
1251,Dominican Republic,1993,426.7
1252,Dominican Republic,1994,498.8
1253,Dominican Republic,1995,837.9
1254,Dominican Republic,1996,677.2
1255,Dominican Republic,1997,614.4
1256,Dominican Republic,1998,509.6
1257,Dominican Republic,1999,877.7
1258,Dominican Republic,2000,623.9
1259,Dominican Republic,2001,650.8
1260,Dominican Republic,2002,406.9
1261,Dominican Republic,2003,322.8
1262,Dominican Republic,2004,372.8
1263,Dominican Republic,2005,262.1
1264,Dominican Republic,2006,232.8
1265,Dominican Republic,2007,74.4
1266,Dominican Republic,2008,53.9
1267,Dominican Republic,2009,76.8
1268,Dominican Republic,2010,54.7
1269,Dominican Republic,2011,50.61
1270,Dominican Republic,2012,40.87
1271,Dominican Republic,2013,34.78
1272,Dominican Republic,2014,36.9
1274,Eastern Africa,1991,629.4
1275,Eastern Africa,1995,1044.5
1276,Eastern Africa,1996,887.3
1277,Eastern Africa,1997,1067.2
1278,Eastern Africa,1998,1070.1
1279,Eastern Africa,1999,675.4
1280,Eastern Africa,2000,714.5
1281,Eastern Africa,2001,642.4
1282,Eastern Africa,2002,643.4
1283,Eastern Africa,2003,524.0
1284,Eastern Africa,2004,411.7
1285,Eastern Africa,2005,470.7
1286,Eastern Africa,2006,288.0
1287,Eastern Africa,2007,213.9
1288,Eastern Africa,2008,122.1
1289,Eastern Africa,2009,126.35
1290,Eastern Africa,2010,126.42
1291,Eastern Africa,2011,123.31
1292,Eastern Africa,2012,83.13
1293,Eastern Africa,2013,63.59
1295,Eastern Europe,1990,136383.2
1296,Eastern Europe,1991,57580.3
1297,Eastern Europe,1992,53539.9
1298,Eastern Europe,1993,32659.2
1299,Eastern Europe,1994,29389.9
1300,Eastern Europe,1995,25749.9
1301,Eastern Europe,1996,16935.6
1302,Eastern Europe,1997,12234.0
1303,Eastern Europe,1998,17153.6
1304,Eastern Europe,1999,16687.4
1305,Eastern Europe,2000,26809.4
1306,Eastern Europe,2001,2178.5
1307,Eastern Europe,2002,1320.9
1308,Eastern Europe,2003,1365.7
1309,Eastern Europe,2004,1479.6
1310,Eastern Europe,2005,1068.8
1311,Eastern Europe,2006,1379.1
1312,Eastern Europe,2007,1533.4
1313,Eastern Europe,2008,1560.9
1314,Eastern Europe,2009,1311.6
1315,Eastern Europe,2010,1152.7
1316,Eastern Europe,2011,1257.75
1317,Eastern Europe,2012,1074.0
1318,Eastern Europe,2013,911.48
1319,Eastern Europe,2014,693.99
1321,Ecuador,1990,648.6
1322,Ecuador,1991,860.8
1323,Ecuador,1992,477.1
1324,Ecuador,1993,480.6
1325,Ecuador,1994,298.1
1326,Ecuador,1995,382.4
1327,Ecuador,1996,351.7
1328,Ecuador,1997,387.8
1329,Ecuador,1998,365.9
1330,Ecuador,1999,277.9
1331,Ecuador,2000,354.9
1332,Ecuador,2001,578.7
1333,Ecuador,2002,273.4
1334,Ecuador,2003,259.9
1335,Ecuador,2004,167.4
1336,Ecuador,2005,286.3
1337,Ecuador,2006,114.0
1338,Ecuador,2007,150.7
1339,Ecuador,2008,79.8
1340,Ecuador,2009,87.24
1341,Ecuador,2010,62.04
1342,Ecuador,2011,32.28
1343,Ecuador,2012,33.76
1344,Ecuador,2013,22.03
1345,Ecuador,2014,21.48
1347,Egypt,1990,4426.0
1348,Egypt,1991,3933.0
1349,Egypt,1992,6276.0
1350,Egypt,1993,6600.0
1351,Egypt,1994,2737.0
1352,Egypt,1995,2880.5
1353,Egypt,1996,2944.9
1354,Egypt,1997,2785.0
1355,Egypt,1998,2816.0
1356,Egypt,1999,2749.8
1357,Egypt,2000,2746.3
1358,Egypt,2001,2704.3
1359,Egypt,2002,1944.1
1360,Egypt,2003,1662.7
1361,Egypt,2004,1644.2
1362,Egypt,2005,1348.6
1363,Egypt,2006,1091.6
1364,Egypt,2007,860.8
1365,Egypt,2008,726.2
1366,Egypt,2009,789.5
1367,Egypt,2010,705.6
1368,Egypt,2011,488.78
1369,Egypt,2012,630.18
1370,Egypt,2013,352.2
1371,Egypt,2014,326.29
1373,El Salvador,1991,425.7
1374,El Salvador,1992,654.1
1375,El Salvador,1993,481.7
1376,El Salvador,1994,261.2
1377,El Salvador,1995,336.4
1378,El Salvador,1996,318.5
1379,El Salvador,1997,284.7
1380,El Salvador,1998,198.7
1381,El Salvador,1999,114.7
1382,El Salvador,2000,107.7
1383,El Salvador,2001,121.2
1384,El Salvador,2002,108.1
1385,El Salvador,2003,105.2
1386,El Salvador,2004,81.1
1387,El Salvador,2005,138.7
1388,El Salvador,2006,84.9
1389,El Salvador,2007,51.4
1390,El Salvador,2008,25.4
1391,El Salvador,2009,11.9
1392,El Salvador,2010,11.5
1393,El Salvador,2011,9.55
1394,El Salvador,2012,9.32
1395,El Salvador,2013,8.08
1396,El Salvador,2014,8.54
1398,Equatorial Guinea,1990,43.1
1399,Equatorial Guinea,1991,43.3
1400,Equatorial Guinea,1992,46.0
1401,Equatorial Guinea,1993,47.5
1402,Equatorial Guinea,1994,51.7
1403,Equatorial Guinea,1995,58.8
1404,Equatorial Guinea,1996,60.8
1405,Equatorial Guinea,1997,65.0
1406,Equatorial Guinea,1998,62.3
1407,Equatorial Guinea,1999,37.9
1408,Equatorial Guinea,2000,49.4
1409,Equatorial Guinea,2001,44.1
1410,Equatorial Guinea,2002,27.9
1411,Equatorial Guinea,2003,19.9
1412,Equatorial Guinea,2004,14.4
1413,Equatorial Guinea,2005,14.3
1414,Equatorial Guinea,2006,10.1
1415,Equatorial Guinea,2007,10.6
1416,Equatorial Guinea,2008,8.1
1417,Equatorial Guinea,2009,6.22
1418,Equatorial Guinea,2010,6.4
1419,Equatorial Guinea,2011,5.67
1420,Equatorial Guinea,2012,5.39
1421,Equatorial Guinea,2013,5.12
1422,Equatorial Guinea,2014,4.95
1424,Eritrea,1991,3.3
1425,Eritrea,1995,54.0
1426,Eritrea,1996,43.2
1427,Eritrea,1997,42.7
1428,Eritrea,1998,26.8
1429,Eritrea,1999,26.5
1430,Eritrea,2000,51.4
1431,Eritrea,2005,31.3
1432,Eritrea,2006,5.1
1433,Eritrea,2007,4.0
1434,Eritrea,2008,3.8
1435,Eritrea,2009,3.15
1436,Eritrea,2010,1.12
1437,Eritrea,2011,0.96
1438,Eritrea,2012,1.01
1439,Eritrea,2013,1.02
1441,Estonia,1991,0.0
1442,Estonia,1995,765.0
1443,Estonia,1996,-442.0
1444,Estonia,1997,56.0
1445,Estonia,1998,55.7
1446,Estonia,1999,57.8
1447,Estonia,2000,17.0
1448,Estonia,2001,1.3
1449,Estonia,2002,1.8
1450,Estonia,2003,3.8
1452,Eswatini,1991,0.8
1453,Eswatini,1993,97.0
1454,Eswatini,1994,94.6
1455,Eswatini,1995,36.0
1456,Eswatini,1996,23.8
1457,Eswatini,1997,17.8
1458,Eswatini,1998,3.7
1459,Eswatini,1999,3.5
1460,Eswatini,2000,1.3
1461,Eswatini,2001,2.1
1462,Eswatini,2002,2.4
1463,Eswatini,2003,2.2
1464,Eswatini,2004,3.5
1465,Eswatini,2005,6.0
1466,Eswatini,2006,1.2
1467,Eswatini,2007,5.6
1468,Eswatini,2008,8.6
1469,Eswatini,2009,9.5
1470,Eswatini,2010,5.0
1471,Eswatini,2011,3.14
1472,Eswatini,2012,3.74
1473,Eswatini,2013,1.18
1474,Eswatini,2014,1.47
1476,Ethiopia,1991,12.6
1477,Ethiopia,1995,48.6
1478,Ethiopia,1996,47.7
1479,Ethiopia,1997,50.7
1480,Ethiopia,1998,61.8
1481,Ethiopia,1999,56.2
1482,Ethiopia,2000,58.0
1483,Ethiopia,2001,54.7
1484,Ethiopia,2002,86.6
1485,Ethiopia,2003,39.7
1486,Ethiopia,2004,23.7
1487,Ethiopia,2005,22.0
1488,Ethiopia,2006,13.1
1489,Ethiopia,2007,5.0
1490,Ethiopia,2008,4.3
1491,Ethiopia,2009,2.1
1492,Ethiopia,2010,11.0
1493,Ethiopia,2011,11.28
1494,Ethiopia,2012,10.8
1495,Ethiopia,2013,5.46
1497,Fiji,1990,41.8
1498,Fiji,1991,55.2
1499,Fiji,1992,9.8
1500,Fiji,1993,8.0
1501,Fiji,1994,0.9
1502,Fiji,1995,62.7
1503,Fiji,1996,29.8
1504,Fiji,1997,13.7
1505,Fiji,1998,15.5
1506,Fiji,1999,11.4
1507,Fiji,2000,2.5
1508,Fiji,2001,2.5
1509,Fiji,2002,5.3
1510,Fiji,2003,1.6
1511,Fiji,2004,5.5
1512,Fiji,2005,6.0
1513,Fiji,2006,5.4
1514,Fiji,2007,4.5
1515,Fiji,2008,4.8
1516,Fiji,2009,7.6
1517,Fiji,2010,9.2
1518,Fiji,2011,14.46
1519,Fiji,2012,14.47
1520,Fiji,2013,7.67
1522,Finland,1990,2615.0
1523,Finland,1991,1718.3
1524,Finland,1992,927.5
1525,Finland,1993,1144.0
1526,Finland,1994,593.4
1528,Gabon,1991,10.4
1529,Gabon,1993,14.2
1530,Gabon,1994,13.6
1531,Gabon,1995,9.3
1532,Gabon,1996,13.5
1533,Gabon,1997,14.0
1534,Gabon,1998,14.0
1535,Gabon,1999,9.7
1536,Gabon,2000,16.2
1537,Gabon,2001,8.4
1538,Gabon,2002,6.9
1539,Gabon,2003,6.9
1540,Gabon,2004,6.2
1541,Gabon,2005,3.6
1542,Gabon,2006,4.5
1543,Gabon,2007,4.1
1544,Gabon,2008,5.2
1545,Gabon,2009,29.7
1546,Gabon,2010,30.6
1547,Gabon,2011,45.95
1548,Gabon,2012,30.25
1549,Gabon,2013,28.6
1551,Gambia,1990,15.0
1552,Gambia,1991,11.6
1553,Gambia,1992,12.4
1554,Gambia,1993,21.4
1555,Gambia,1994,23.1
1556,Gambia,1995,24.7
1557,Gambia,1996,21.0
1558,Gambia,1997,28.4
1559,Gambia,1998,11.1
1560,Gambia,1999,7.0
1561,Gambia,2000,6.2
1562,Gambia,2001,5.9
1563,Gambia,2002,4.9
1564,Gambia,2003,5.3
1565,Gambia,2004,0.2
1566,Gambia,2005,0.9
1567,Gambia,2006,1.1
1568,Gambia,2007,0.7
1569,Gambia,2008,0.5
1570,Gambia,2009,1.6
1571,Gambia,2010,1.5
1572,Gambia,2011,0.98
1573,Gambia,2012,1.91
1574,Gambia,2013,0.86
1575,Gambia,2014,0.77
1577,Georgia,1991,94.8
1578,Georgia,1994,53.2
1579,Georgia,1995,77.8
1580,Georgia,1996,79.6
1581,Georgia,1997,86.7
1582,Georgia,1998,69.9
1583,Georgia,1999,62.9
1584,Georgia,2000,65.9
1585,Georgia,2001,68.1
1586,Georgia,2002,64.3
1587,Georgia,2003,61.1
1588,Georgia,2004,55.8
1589,Georgia,2005,34.4
1590,Georgia,2006,14.6
1591,Georgia,2007,6.3
1592,Georgia,2008,5.9
1593,Georgia,2009,4.6
1594,Georgia,2010,5.9
1595,Georgia,2011,4.31
1596,Georgia,2012,2.66
1597,Georgia,2013,1.38
1598,Georgia,2014,0.1
1600,Ghana,1990,114.7
1601,Ghana,1991,107.2
1602,Ghana,1992,78.2
1603,Ghana,1993,28.2
1604,Ghana,1994,46.7
1605,Ghana,1995,48.6
1606,Ghana,1996,15.7
1607,Ghana,1997,51.5
1608,Ghana,1998,55.1
1609,Ghana,1999,54.7
1610,Ghana,2000,56.7
1611,Ghana,2001,41.1
1612,Ghana,2002,24.0
1613,Ghana,2003,37.7
1614,Ghana,2004,47.5
1615,Ghana,2005,25.2
1616,Ghana,2006,34.2
1617,Ghana,2007,23.6
1618,Ghana,2008,21.6
1619,Ghana,2009,80.7
1620,Ghana,2010,37.2
1621,Ghana,2011,30.71
1622,Ghana,2012,27.19
1623,Ghana,2013,25.39
1625,Grenada,1991,0.0
1626,Grenada,1993,4.1
1627,Grenada,1994,4.1
1628,Grenada,1995,6.9
1629,Grenada,1996,5.1
1630,Grenada,1997,6.9
1631,Grenada,1998,4.2
1632,Grenada,1999,3.1
1633,Grenada,2000,3.1
1634,Grenada,2001,1.3
1635,Grenada,2002,2.3
1636,Grenada,2003,2.3
1637,Grenada,2004,2.4
1638,Grenada,2005,0.7
1639,Grenada,2006,0.3
1640,Grenada,2007,0.2
1641,Grenada,2008,0.5
1642,Grenada,2009,0.8
1643,Grenada,2010,0.8
1644,Grenada,2011,0.18
1645,Grenada,2012,0.26
1646,Grenada,2013,0.33
1648,Guatemala,1990,360.9
1649,Guatemala,1991,370.1
1650,Guatemala,1992,370.1
1651,Guatemala,1993,370.1
1652,Guatemala,1994,344.2
1653,Guatemala,1995,489.2
1654,Guatemala,1996,505.6
1655,Guatemala,1997,749.5
1656,Guatemala,1998,789.8
1657,Guatemala,1999,720.2
1658,Guatemala,2000,891.1
1659,Guatemala,2001,1055.4
1660,Guatemala,2002,952.5
1661,Guatemala,2003,677.0
1662,Guatemala,2004,556.1
1663,Guatemala,2005,586.9
1664,Guatemala,2006,355.8
1665,Guatemala,2007,302.9
1666,Guatemala,2008,184.4
1667,Guatemala,2009,249.3
1668,Guatemala,2010,256.2
1669,Guatemala,2011,221.0
1670,Guatemala,2012,148.48
1671,Guatemala,2013,249.98
1672,Guatemala,2014,229.36
1674,Guinea,1990,40.6
1675,Guinea,1991,42.1
1676,Guinea,1992,46.0
1677,Guinea,1993,44.5
1678,Guinea,1994,44.5
1679,Guinea,1995,48.5
1680,Guinea,1996,52.4
1681,Guinea,1997,52.2
1682,Guinea,1998,42.0
1683,Guinea,1999,40.0
1684,Guinea,2000,49.9
1685,Guinea,2001,48.4
1686,Guinea,2002,45.0
1687,Guinea,2003,42.1
1688,Guinea,2004,32.4
1689,Guinea,2005,26.1
1690,Guinea,2006,22.9
1691,Guinea,2007,22.1
1692,Guinea,2008,22.0
1693,Guinea,2009,21.8
1694,Guinea,2010,23.4
1695,Guinea,2011,24.53
1696,Guinea,2012,22.2
1697,Guinea,2013,7.08
1699,Guinea-Bissau,1990,22.2
1700,Guinea-Bissau,1991,23.0
1701,Guinea-Bissau,1992,23.4
1702,Guinea-Bissau,1993,23.9
1703,Guinea-Bissau,1994,24.4
1704,Guinea-Bissau,1995,25.7
1705,Guinea-Bissau,1996,26.3
1706,Guinea-Bissau,1997,26.8
1707,Guinea-Bissau,1998,27.1
1708,Guinea-Bissau,1999,26.0
1709,Guinea-Bissau,2000,26.0
1710,Guinea-Bissau,2001,26.9
1711,Guinea-Bissau,2002,27.2
1712,Guinea-Bissau,2003,31.4
1713,Guinea-Bissau,2004,27.2
1714,Guinea-Bissau,2005,14.6
1715,Guinea-Bissau,2006,15.2
1716,Guinea-Bissau,2007,5.2
1717,Guinea-Bissau,2008,3.9
1718,Guinea-Bissau,2009,6.65
1719,Guinea-Bissau,2010,2.9
1720,Guinea-Bissau,2011,2.86
1721,Guinea-Bissau,2012,2.7
1722,Guinea-Bissau,2013,2.31
1724,Guyana,1990,19.3
1725,Guyana,1991,17.7
1726,Guyana,1992,23.0
1727,Guyana,1993,59.8
1728,Guyana,1994,42.6
1729,Guyana,1995,94.1
1730,Guyana,1996,44.4
1731,Guyana,1997,29.3
1732,Guyana,1998,30.9
1733,Guyana,1999,42.6
1734,Guyana,2000,26.4
1735,Guyana,2001,21.2
1736,Guyana,2002,15.6
1737,Guyana,2003,11.6
1738,Guyana,2004,12.9
1739,Guyana,2005,26.0
1740,Guyana,2006,9.2
1741,Guyana,2007,0.6
1742,Guyana,2008,1.7
1743,Guyana,2009,1.1
1744,Guyana,2010,2.4
1745,Guyana,2011,2.41
1746,Guyana,2012,1.36
1747,Guyana,2013,0.96
1748,Guyana,2014,0.8
1750,Haiti,1991,0.0
1751,Haiti,1995,170.5
1752,Haiti,1996,170.5
1753,Haiti,1997,170.5
1754,Haiti,1998,0.2
1755,Haiti,1999,0.2
1756,Haiti,2000,185.7
1757,Haiti,2001,185.7
1758,Haiti,2002,197.7
1759,Haiti,2003,121.0
1760,Haiti,2004,140.6
1761,Haiti,2005,85.5
1762,Haiti,2006,54.8
1763,Haiti,2007,9.4
1764,Haiti,2008,3.7
1765,Haiti,2009,3.85
1766,Haiti,2010,3.41
1767,Haiti,2011,4.24
1768,Haiti,2012,5.15
1769,Haiti,2013,1.95
1771,Honduras,1991,0.0
1772,Honduras,1994,114.8
1773,Honduras,1995,369.2
1774,Honduras,1996,779.5
1775,Honduras,1997,620.7
1776,Honduras,1998,430.8
1777,Honduras,1999,634.8
1778,Honduras,2000,556.3
1779,Honduras,2001,639.3
1780,Honduras,2002,555.7
1781,Honduras,2003,591.5
1782,Honduras,2004,519.5
1783,Honduras,2005,448.2
1784,Honduras,2006,391.5
1785,Honduras,2007,305.1
1786,Honduras,2008,216.2
1787,Honduras,2009,153.9
1788,Honduras,2010,161.6
1789,Honduras,2011,109.36
1790,Honduras,2012,80.91
1791,Honduras,2013,18.94
1793,Hungary,1990,7624.8
1794,Hungary,1991,4156.3
1795,Hungary,1992,2467.5
1796,Hungary,1993,1919.2
1797,Hungary,1994,988.2
1798,Hungary,1995,684.7
1799,Hungary,1996,98.8
1800,Hungary,1997,117.5
1801,Hungary,1998,122.1
1802,Hungary,1999,113.7
1803,Hungary,2000,97.3
1804,Hungary,2001,96.4
1805,Hungary,2002,47.3
1806,Hungary,2003,34.2
1808,Iceland,1990,172.4
1809,Iceland,1991,126.3
1810,Iceland,1992,88.5
1811,Iceland,1993,69.2
1812,Iceland,1994,38.6
1813,Iceland,1995,7.6
1814,Iceland,1996,7.5
1815,Iceland,1997,8.9
1816,Iceland,1998,7.0
1817,Iceland,1999,6.6
1818,Iceland,2000,6.7
1819,Iceland,2001,7.1
1820,Iceland,2002,2.6
1821,Iceland,2003,2.7
1822,Iceland,2004,2.0
1823,Iceland,2005,1.7
1824,Iceland,2006,2.4
1825,Iceland,2007,2.2
1826,Iceland,2008,2.2
1827,Iceland,2009,1.8
1828,Iceland,2010,0.0
1829,Iceland,2011,0.0
1830,Iceland,2012,0.0
1831,Iceland,2013,0.0
1832,Iceland,2014,0.1
1834,India,1990,0.0
1835,India,1991,0.0
1836,India,1992,11041.2
1837,India,1993,16312.2
1838,India,1994,16066.1
1839,India,1995,10286.9
1840,India,1996,16668.5
1841,India,1997,15165.1
1842,India,1998,12253.6
1843,India,1999,21454.6
1844,India,2000,18695.6
1845,India,2001,14369.8
1846,India,2002,15026.9
1847,India,2003,13848.1
1848,India,2004,10149.8
1849,India,2005,4326.3
1850,India,2006,5280.3
1851,India,2007,2971.0
1852,India,2008,2904.9
1853,India,2009,977.0
1854,India,2010,1933.7
1855,India,2011,1484.57
1856,India,2012,1638.45
1857,India,2013,956.14
1859,Indonesia,1991,80.8
1860,Indonesia,1992,6693.3
1861,Indonesia,1993,5686.3
1862,Indonesia,1994,8027.1
1863,Indonesia,1995,9199.6
1864,Indonesia,1996,9476.0
1865,Indonesia,1997,7965.8
